Date,incident number,Incident type,Address,City,State,ZIP Code,County,Latitude,Longitude,Destroyed,Major,Minor,Affected,Injured,Hospitalized,Deceased,Adults,Children,Families,Assistance,Verified,Dispatched,Volunteers identified,On scene,Off scene,Primary neighborhood,Secondary neighborhood 
2019-06-11,19-2571,Fire,5076 W Congress Pkwy,Chicago,IL,60644,Cook,41.8741745,-87.752287,0,1,0,0,0,0,0,2,2,1,500,2019-06-11,2019-06-11,2019-06-11,,2019-06-11,Austin,AUSTIN
2019-06-11,19-2573,Flood,1128 E 81st St,Chicago,IL,60619,Cook,41.7480241,-87.596428,0,0,1,0,0,0,0,1,0,1,500,2019-06-11,2019-06-13,2019-06-13,2019-06-13,2019-06-13,Avalon Park,"AVALON PARK,CALUMET HEIGHTS"
2019-06-11,19-2574,Fire,1441 N Hudson Ave,Chicago,IL,60610,Cook,41.9087984,-87.6398738,0,0,0,1,0,0,0,0,0,0,0,2019-06-11,2019-06-11,2019-06-11,,,Old Town,OLD TOWN
2019-06-12,19-2575,Fire,1206 W Jarvis Ave,Chicago,IL,60626,Cook,42.016461,-87.663383,0,0,1,0,0,0,0,2,0,1,0,2019-06-12,2019-06-12,2019-06-12,2019-06-12,2019-06-12,Rogers Park,ROGERS PARK
2019-06-12,19-2576,Not eligible for services,7924 S Lafayette Ave,Chicago,IL,60620,Cook,41.7501422,-87.6260614,0,0,0,0,0,0,0,1,0,0,0,,,,,,Chatham,"CHATHAM,BURNSIDE"
2019-06-12,19-2577,Fire,722 N Trumbull Ave,Chicago,IL,60624,Cook,41.894441,-87.712957,0,1,0,0,0,0,0,1,0,1,405,2019-06-12,2019-06-12,2019-06-12,,,Humboldt Park,HUMBOLDT PARK
2019-06-13,19-2581,Fire,1224 W 50th St,Chicago,IL,60609,Cook,41.80351,-87.656136,0,0,1,0,0,0,0,7,4,1,1390,2019-06-13,2019-06-13,2019-06-13,,2019-06-13,New City,BACK OF THE YARDS
2019-06-13,19-2583,Not eligible for services,1900 N Austin Ave,Chicago,IL,60639,Cook,41.915284,-87.7784881,0,0,0,0,0,0,0,0,0,0,0,,,,,,Galewood,"MONTCLARE, GALEWOOD"
2019-06-13,19-2584,Fire,9522 S Oglesby Ave,Chicago,IL,60617,Cook,41.721789,-87.56616,0,0,1,0,0,0,0,2,1,1,655,2019-06-13,2019-06-13,2019-06-13,2019-06-13,2019-06-13,South Deering,SOUTHEAST SIDE
2019-06-13,19-2586,Fire,6300 S Racine Ave,Chicago,IL,60636,Cook,41.7795153,-87.6545813,0,0,0,0,0,0,0,0,0,0,0,2019-06-13,2019-06-13,2019-06-13,,,Englewood,ENGLEWOOD
2019-06-14,19-2587,Fire,9630 S Exchange Ave,Chicago,IL,60617,Cook,41.7199199,-87.5526609,0,1,0,0,0,0,0,2,4,1,1590,2019-06-14,2019-06-14,2019-06-14,,2019-06-14,South Deering,SOUTHEAST SIDE
2019-06-14,19-2588,Fire,3605 W 60th Pl,Chicago,IL,60629,Cook,41.7831461,-87.7134439,0,0,2,0,0,0,0,7,0,1,1435,2019-06-14,2019-06-14,2019-06-14,,2019-06-14,West Lawn,WEST LAWN
2019-06-14,19-2593,Fire,10132 S Hoxie Ave,Chicago,IL,60617,Cook,41.7107891,-87.5612348,1,0,0,0,0,0,0,2,0,1,0,2019-06-15,2019-06-15,2019-06-15,2019-06-15,2019-06-15,South Deering,SOUTHEAST SIDE
2019-06-15,19-2598,No response needed,5800 S Prairie Ave,Chicago,IL,60637,Cook,41.789113,-87.619567,0,0,0,0,0,0,0,0,0,0,0,,,,,,Washington Park,WASHINGTON PARK
2019-06-16,19-2601,No response needed,208 N Mayfield Ave,Chicago,IL,60644,Cook,41.884489,-87.7723168,0,0,0,0,0,0,0,0,0,0,0,2019-06-17,,,,,Austin,AUSTIN
2019-06-16,19-2602,Fire,4107 W 82nd St,Chicago,IL,60652,Cook,41.7434464,-87.7237841,0,1,0,0,0,0,0,4,4,1,1560,2019-06-17,2019-06-17,2019-06-17,,2019-06-17,Ashburn,ASHBURN
2019-06-18,19-2608,Fire,5527 S Hamilton Ave,Chicago,IL,60636,Cook,41.7926783,-87.6776395,0,2,0,0,0,0,0,8,4,3,2340,2019-06-18,2019-06-18,2019-06-18,,2019-06-18,Englewood,ENGLEWOOD
2019-06-18,19-2612,Vacate,6408 N Rockwell St,Chicago,IL,60645,Cook,41.9979354,-87.6949017,0,0,0,0,0,0,0,0,0,0,0,2019-06-19,2019-06-19,2019-06-19,,2019-06-19,West Ridge,WEST RIDGE
2019-06-19,19-2613,Fire,5950 S Throop St,Chicago,IL,60636,Cook,41.78538,-87.657424,0,0,1,0,1,1,0,4,0,2,655,2019-06-19,2019-06-19,2019-06-19,2019-06-19,2019-06-19,Englewood,ENGLEWOOD
2019-06-19,19-2616,Fire,5331 W Deming Pl,Chicago,IL,60639,Cook,41.9265875,-87.7599963,0,1,0,0,0,0,0,2,2,1,0,2019-06-19,2019-06-19,2019-06-19,,2019-06-19,Belmont Cragin,"BELMONT CRAGIN,HERMOSA"
2019-06-20,19-2619,Fire,3943 W Monroe St,Chicago,IL,60624,Cook,41.879509,-87.7249159,0,1,0,1,0,0,0,3,0,1,0,2019-06-20,2019-06-20,2019-06-20,2019-06-20,2019-06-20,Garfield Park,GARFIELD PARK
2019-06-20,19-2620,Fire,1056 N Monitor Ave,Chicago,IL,60651,Cook,41.9001036,-87.7719709,0,0,0,0,0,0,0,0,0,0,0,2019-06-20,2019-06-20,2019-06-20,,2019-06-20,Austin,AUSTIN
2019-06-20,19-2621,Fire,1950 W Melrose St,Chicago,IL,60657,Cook,41.9406261,-87.6778385,0,0,0,0,0,0,0,0,0,0,0,2019-06-20,2019-06-20,2019-06-20,2019-06-20,2019-06-20,North Center,NORTH CENTER
2019-06-20,19-2624,Fire,3435 W 65th Pl,Chicago,IL,60629,Cook,41.7741288,-87.7093142,0,1,0,0,0,0,0,2,2,0,0,2019-06-20,2019-06-20,2019-06-20,,2019-06-20,Chicago Lawn,"MARQUETTE PARK,GAGE PARK"
2019-06-20,19-2626,No response needed,7350 N Sheridan Rd,Chicago,IL,60626,Cook,42.0154691,-87.6652796,0,0,0,0,0,0,0,0,0,0,0,,,,,,Rogers Park,ROGERS PARK
2019-06-21,19-2630,No response needed,S Paulina St & W 50th St,Chicago,IL,60609,Cook,41.8031097,-87.667265,0,0,0,0,0,0,0,0,0,0,0,2019-06-21,,,,,New City,BACK OF THE YARDS
2019-06-21,19-2631,Fire,8667 W Foster Ave,Chicago,IL,60656,Cook,41.973632,-87.8448889,0,0,4,0,0,0,0,2,0,1,250,2019-06-21,2019-06-21,2019-06-21,,,O'Hare,OHARE
2019-06-21,19-2634,Fire,4625 S Drexel Blvd,Chicago,IL,60653,Cook,41.8106981,-87.6035008,0,14,0,0,0,1,0,19,1,14,8340,2019-06-22,2019-06-22,2019-06-22,,2019-06-22,Kenwood,"KENWOOD,OAKLAND"
2019-06-22,19-2639,Fire,4931 W Hirsch St,Chicago,IL,60651,Cook,41.9057612,-87.749782,0,2,0,0,0,0,0,3,1,2,1060,2019-06-23,2019-06-23,2019-06-23,,2019-06-23,Austin,AUSTIN
2019-06-24,19-2647,No response needed,415 Howard St,Chicago,IL,60626,Cook,42.019531,-87.6748309,0,0,0,0,0,0,0,0,0,0,0,,,,,, , 
2019-06-25,19-2649,Fire,431 W Deming Pl,Chicago,IL,60614,Cook,41.9291523,-87.6402395,0,0,1,0,0,0,0,0,0,0,0,2019-06-25,2019-06-25,2019-06-25,2019-06-25,2019-06-25,Lincoln Park,LINCOLN PARK
2019-06-25,19-2650,Fire,4911 N Pulaski Rd,Chicago,IL,60630,Cook,41.9704647,-87.7276701,1,1,2,0,0,0,0,8,4,5,2900,2019-06-25,2019-06-25,2019-06-25,,2019-06-25,Albany Park,"NORTH PARK,ALBANY PARK"
2019-05-31,19-2651,Not eligible for services,9511 S Union Ave,Chicago,IL,60628,Cook,41.7211279,-87.6404421,0,0,0,0,0,0,0,0,0,0,0,,,,,,Washington Heights,"WASHINGTON HEIGHTS,ROSELAND"
2019-06-25,19-2652,Fire,1748 W 51st St,Chicago,IL,60609,Cook,41.8014589,-87.6690937,0,0,0,0,0,0,0,0,0,0,0,2019-06-25,2019-06-25,2019-06-25,2019-06-25,2019-06-25,New City,BACK OF THE YARDS
2019-06-27,19-2662,No response needed,4921 W Monroe St,Chicago,IL,60644,Cook,41.8792518,-87.7482108,0,0,0,0,0,0,0,0,0,0,0,2019-06-27,,,,,Austin,AUSTIN
2019-06-28,19-2677,Fire,5953 S Carpenter St,Chicago,IL,60621,Cook,41.785339,-87.650667,0,2,0,0,0,0,0,8,1,3,2120,2019-06-28,2019-06-28,2019-06-28,,2019-06-28,Englewood,ENGLEWOOD
2019-06-28,19-2678,No response needed,3132 W Palmer St,Chicago,IL,60647,Cook,41.9210479,-87.707601,0,0,0,0,0,0,0,0,0,0,0,2019-06-28,,,,,Logan Square,LOGAN SQUARE
2019-06-29,19-2691,Fire,7116 S Artesian Ave,Chicago,IL,60629,Cook,41.764085,-87.6849435,0,1,0,0,0,0,0,2,0,0,530,2019-06-29,2019-06-29,2019-06-29,2019-06-29,2019-06-29,Chicago Lawn,"MARQUETTE PARK,GAGE PARK"
2019-06-29,19-2692,Fire,1303 N Maplewood Ave,Chicago,IL,60622,Cook,41.9050057,-87.6904909,4,2,0,0,1,0,0,14,2,5,3680,2019-06-29,2019-06-29,2019-06-29,,,Wicker Park,"WICKER PARK,WEST TOWN"
2019-06-29,19-2693,Not eligible for services,122 W 54th St,Chicago,IL,60609,Cook,41.7964617,-87.6278293,0,0,0,0,0,0,0,0,0,0,0,,,,,,Washington Park,WASHINGTON PARK
2019-06-29,19-2694,Fire,8757 S Princeton Ave,Chicago,IL,60620,Cook,41.7345152,-87.6316137,0,1,0,0,0,1,0,5,3,1,1560,2019-06-29,2019-06-29,2019-06-29,2019-06-29,2019-06-29,Roseland,"WASHINGTON HEIGHTS,ROSELAND"
2019-06-29,19-2695,Fire,7600 S Essex Ave,Chicago,IL,60649,Cook,41.756942,-87.564243,0,5,0,0,0,0,0,13,11,6,5115,2019-06-29,2019-06-29,2019-06-29,2019-06-29,2019-06-29,South Shore,"SOUTH SHORE, GRAND CROSSING"
2019-06-29,19-2697,Fire,8120 S Kedzie Ave,Chicago,IL,60652,Cook,41.7454165,-87.7025972,0,3,0,0,0,0,1,5,1,3,1590,2019-06-30,2019-06-30,2019-06-30,,2019-06-30,Ashburn,ASHBURN
2019-06-30,19-2701,No response needed,5633 S Throop St,Chicago,IL,60636,Cook,41.7912923,-87.6569763,0,0,0,0,0,0,0,0,0,0,0,2019-06-30,,,,,Englewood,ENGLEWOOD
2019-06-30,19-2702,Fire,5610 S Throop St,Chicago,IL,60636,Cook,41.7919285,-87.6574689,0,2,0,0,0,0,0,4,1,2,1185,2019-06-30,2019-06-30,2019-06-30,,,Englewood,ENGLEWOOD
2019-06-30,19-2703,Fire,221 W 104th Pl,Chicago,IL,60628,Cook,41.7041726,-87.629069,0,1,0,0,0,1,0,6,3,2,1685,2019-06-30,2019-06-30,2019-06-30,2019-06-30,2019-06-30,Roseland,"WASHINGTON HEIGHTS,ROSELAND"
2019-07-01,20-0002,Fire,8027 S Manistee Ave,Chicago,IL,60617,Cook,41.7492139,-87.5574498,0,1,0,0,0,0,0,1,0,1,405,2019-07-01,2019-07-01,2019-07-01,2019-07-01,2019-07-01,South Chicago,SOUTH CHICAGO
2019-07-01,20-0003,Fire,2448 E 91st St,Chicago,IL,60617,Cook,41.7301099,-87.5638599,0,1,0,0,0,1,0,2,0,1,651,2019-07-01,2019-07-01,2019-07-01,2019-07-01,2019-07-01,Calumet Heights,"AVALON PARK,CALUMET HEIGHTS"
2019-07-01,20-0008,No response needed,5649 S Morgan St,Chicago,IL,60621,Cook,41.7909887,-87.6496927,0,0,0,0,0,0,0,0,0,0,0,,,,,,Englewood,ENGLEWOOD
2019-07-01,20-0016,Fire,7117 S Yale Ave,Chicago,IL,60621,Cook,41.7648611,-87.6307579,0,2,0,0,0,0,0,5,0,3,1465,2019-07-02,2019-07-02,2019-07-02,,2019-07-02,Grand Crossing,"SOUTH SHORE, GRAND CROSSING"
2019-07-02,20-0023,Fire,8121 S Wentworth Ave,Chicago,IL,60620,Cook,41.7465779,-87.6289629,0,1,0,0,0,0,0,3,4,1,1435,2019-07-02,2019-07-02,2019-07-02,,2019-07-03,Chatham,"CHATHAM,BURNSIDE"
2019-07-02,20-0027,Fire,7810 S Drexel Ave,Chicago,IL,60619,Cook,41.7527008,-87.603228,0,1,0,0,0,0,0,1,0,1,405,2019-07-03,2019-07-03,2019-07-03,,2019-07-03,Grand Crossing,"SOUTH SHORE, GRAND CROSSING"
2019-07-02,20-0028,No response needed,60 E 104th St,Chicago,IL,60628,Cook,41.7055655,-87.621164,0,0,0,0,0,0,0,0,0,0,0,2019-07-03,,,,,Roseland,"WASHINGTON HEIGHTS,ROSELAND"
2019-07-02,20-0029,Fire,1011 N Central Ave,Chicago,IL,60651,Cook,41.8988888,-87.7652824,0,0,1,0,0,0,0,2,0,1,0,2019-07-03,2019-07-03,2019-07-03,,2019-07-03,Austin,AUSTIN
2019-07-03,20-0037,Fire,5004 W School St,Chicago,IL,60641,Cook,41.940785,-87.7521625,0,3,0,0,0,0,0,7,5,3,2215,2019-07-03,2019-07-04,2019-07-04,2019-07-04,2019-07-04,Portage Park,PORTAGE PARK
2019-07-03,20-0038,No response needed,1429 S Kedvale Ave,Chicago,IL,60623,Cook,41.861602,-87.728346,0,0,0,0,0,0,0,0,0,0,0,,,,,,North Lawndale,NORTH LAWNDALE
2019-07-04,20-0042,Fire,7251 S Union Ave,Chicago,IL,60621,Cook,41.7619439,-87.6411456,0,0,0,0,0,0,0,0,0,0,0,2019-07-04,2019-07-04,2019-07-04,,2019-07-04,Englewood,ENGLEWOOD
2019-07-04,20-0043,Fire,11526 S Justine St,Chicago,IL,60643,Cook,41.6839946,-87.660608,0,1,0,0,0,0,0,2,0,1,935,2019-07-04,2019-07-04,2019-07-04,2019-07-04,2019-07-04,West Pullman,WEST PULLMAN
2019-07-04,20-0046,Fire,8633 W Foster Ave,Chicago,IL,60656,Cook,41.9734369,-87.842783,2,4,0,0,0,0,0,14,8,6,4710,2019-07-04,2019-07-04,2019-07-04,,2019-07-05,O'Hare,OHARE
2019-07-04,20-0050,Not eligible for services,160 N LaSalle St,Chicago,IL,60601,Cook,41.8848703,-87.6330604,0,0,0,0,0,0,0,0,0,0,0,2019-07-05,,,,,Loop,LOOP
2019-07-05,20-0055,No response needed,6610 S Evans Ave,Chicago,IL,60637,Cook,41.7745327,-87.6073076,0,0,0,0,0,0,0,0,0,0,0,2019-07-05,2019-07-05,,,,Woodlawn,WOODLAWN
2019-07-05,20-0056,No response needed,7052 S Eggleston Ave,Chicago,IL,60621,Cook,41.7655837,-87.636264,0,0,0,0,0,0,0,0,0,0,0,2019-07-05,2019-07-05,,,,Englewood,ENGLEWOOD
2019-07-05,20-0063,Fire,8618 S Morgan St,Chicago,IL,60620,Cook,41.7371899,-87.6488159,0,1,0,0,0,0,0,4,4,1,1560,2019-07-05,2019-07-05,2019-07-05,,,Auburn Gresham,AUBURN GRESHAM
2019-07-05,20-0065,Fire,83rd St & Coles,Chicago,IL,60617,Cook,41.7446205,-87.5490499,0,0,1,0,0,0,0,0,0,0,0,2019-07-05,2019-07-05,2019-07-05,2019-07-05,2019-07-05,South Chicago,SOUTH CHICAGO
2019-07-06,20-0071,No response needed,753 N Central Park Ave,Chicago,IL,60624,Cook,41.8951707,-87.7160109,0,0,0,0,0,0,0,0,0,0,0,2019-07-06,,,,,Humboldt Park,HUMBOLDT PARK
