date,is_boarded,fire,homeless,address,zip_code,ward,community_area,geometry,PRI_NEIGH
2015-05-19,0,1,0,4901 W augusta blvd,60651,37,25,"c(-87.7483656798416, 41.8986551826277)",Austin
2015-12-15,0,0,0,1834 W pershing rd,60609,12,59,"c(-87.6714312682, 41.8231565439284)",Mckinley Park
2015-03-26,0,0,0,1519 S drake ave,60623,24,29,"c(-87.7140301675002, 41.8604655889552)",North Lawndale
2015-07-08,0,0,1,5320 W ferdinand st,60644,37,25,"c(-87.7583510143724, 41.8889158066417)",Austin
2017-01-25,0,0,1,9438 S langley ave,60619,9,49,"c(-87.6068761277228, 41.7229422342638)",Roseland
2017-04-12,0,0,0,6219 S kildare ave,60629,23,65,"c(-87.7301248743532, 41.7800438352882)",West Lawn
2017-07-18,0,0,1,7108 S emerald ave,60621,6,68,"c(-87.643024154262, 41.7650781175912)",Englewood
2015-07-09,0,0,0,5142 S honore st,60609,16,61,"c(-87.6708398475829, 41.8004952104226)",New City
2015-05-18,0,0,0,5345 S laflin st,60609,20,61,"c(-87.662227529944, 41.7968801028495)",New City
2016-02-07,0,1,0,148 E 107th st,60628,9,49,"c(-87.6193919562402, 41.6999285068386)",Roseland
2017-01-15,0,0,1,315 W 59th pl,60621,20,68,"c(-87.6331064005977, 41.7863177388897)",Englewood
2016-03-29,0,0,1,7638 S eggleston ave,60620,17,69,"c(-87.6356379555532, 41.7555351071277)",Grand Crossing
2017-07-06,0,0,0,1254 W 61st st,60636,16,67,"c(-87.6567228169735, 41.7832154442736)",Englewood
2015-08-03,0,0,0,243 W 104th pl,60628,34,49,"c(-87.6293399972697, 41.7043558901245)",Roseland
2015-09-01,0,0,0,8542 S exchange ave,60617,10,46,"c(-87.5527065849264, 41.7402322529366)",South Chicago
2015-03-05,0,0,1,1930 S sawyer ave,60623,24,29,"c(-87.7065608024229, 41.854855053822)",North Lawndale
2016-06-02,0,0,0,7136 S peoria st,60621,6,68,"c(-87.6468234880026, 41.7645035237567)",Englewood
2015-06-04,0,0,0,11310 S wentworth ave,60628,34,49,"c(-87.627790078861, 41.6885809621992)",Roseland
2016-11-29,1,0,0,6934 S rockwell st,60629,17,66,"c(-87.6882106380359, 41.7674025131686)",Chicago Lawn
2015-08-10,0,0,0,9938 S perry ave,60628,9,49,"c(-87.6260623925355, 41.7137166922876)",Roseland
2017-02-22,0,1,0,5116 S wood st,60609,16,61,"c(-87.6696370291082, 41.8009821490405)",New City
2017-06-15,0,0,1,6629 S artesian ave,60629,16,66,"c(-87.6846981692431, 41.7732450517455)",Chicago Lawn
2016-10-06,0,0,0,10724 S langley ave,60628,9,50,"c(-87.6062208863052, 41.6995148235165)",Pullman
2015-04-02,0,0,0,6410 S sangamon st,60621,16,68,"c(-87.6483761968608, 41.7776935984018)",Englewood
2015-01-14,0,0,1,7941 S east end ave,60617,8,46,"c(-87.5830602593869, 41.7508304024763)",South Chicago
2016-04-07,0,0,0,7935 S coles ave,60617,7,46,"c(-87.5492517266079, 41.7509968427439)",South Chicago
2015-08-29,0,0,1,10632 S indiana ave,60628,9,49,"c(-87.6184746557122, 41.7010766851931)",Roseland
2015-06-17,0,0,0,11748 S michigan ave,60628,9,53,"c(-87.6205919003475, 41.6805398704898)",West Pullman
2016-05-10,0,0,1,5515 S winchester ave,60636,15,67,"c(-87.6730639426456, 41.7933435633029)",Englewood
2015-08-13,0,0,1,3934 W armitage ave,60647,26,20,"c(-87.7254061741649, 41.9171816208116)",Hermosa
2017-03-01,0,0,0,117 N long ave,60644,28,25,"c(-87.7602095398074, 41.8827943091497)",Austin
2015-05-26,0,0,0,10223 S lowe ave,60628,9,73,"c(-87.6392284935918, 41.7083679364058)",Washington Heights
2016-11-01,0,0,1,11630 S wallace st,60628,34,53,"c(-87.6372511466021, 41.6831231866848)",West Pullman
2017-05-03,0,0,0,11353 S elizabeth st,60643,34,75,"c(-87.6531701348949, 41.6873065322078)",Morgan Park
2016-08-01,0,0,0,7246 S fairfield ave,60629,18,66,"c(-87.6917312035491, 41.761889111455)",Chicago Lawn
2016-08-05,0,0,1,6012 S morgan st,60621,16,68,"c(-87.6497827881533, 41.7849139000681)",Englewood
2015-10-15,0,0,0,1401 W 72nd pl,60636,17,67,"c(-87.6589340344158, 41.7622537858465)",Englewood
