date,is_boarded,fire,homeless,address,zip_code,ward,community_area,latitude,longitude
2018-04-25,0,0,0,2237 S sacramento ave,60623,12,30,41.851157169383306,-87.70034077182932
2018-11-25,0,0,1,8128 S may st,60620,21,71,41.746359284363365,-87.65241355002468
2018-04-25,0,0,1,1917 S pulaski rd,60623,24,29,41.85490924834169,-87.72484682575906
2018-04-25,1,0,0,7718 S essex ave,60649,7,43,41.75506176755728,-87.56387019054675
2018-04-25,0,0,0,26 W 116th st,60628,34,53,41.68253159448315,-87.62379960835787
2018-04-25,0,0,1,1916 S harding ave,60623,24,29,41.85475078434423,-87.72359014336206
2018-11-25,0,0,0,5621 S carpenter st,60621,16,68,41.792013281596496,-87.65117293473193
2018-04-25,0,1,0,5243 W chicago ave,60651,37,25,41.89491848122125,-87.75705636860319
2018-11-26,0,0,0,1727 W 106th st,60643,19,72,41.701083345293895,-87.66521834003113
2018-11-26,0,0,0,2052 W 108th pl,60643,19,75,41.69698934272126,-87.6731485899617
2018-11-26,0,0,1,9120 S justine st,60620,21,73,41.72816321902938,-87.66162312046411
2018-11-26,1,1,0,7242 S fairfield ave,60629,18,66,41.761962943419284,-87.69173303378498
2018-11-26,0,0,0,3148 W irving park rd,60618,33,16,41.95392616249931,-87.70711283254998
2018-11-26,0,0,0,10435 S vernon ave,60628,9,49,41.70486208474119,-87.61248140000109
2018-11-26,1,1,0,2713 W division st,60622,26,24,41.90294471228089,-87.69473933787263
2018-11-26,0,0,0,6755 S aberdeen st,60621,16,68,41.77135775722847,-87.65185433238662
2018-11-26,0,0,0,6613 S green st,60621,6,68,41.7740345259243,-87.64585471677294
2018-04-26,0,0,1,9028 S baltimore ave,60617,10,46,41.7314161029855,-87.54853073020962
2018-04-26,0,0,1,7638 S wabash ave,60619,6,69,41.755743751775135,-87.62309693671077
2018-04-26,0,0,0,315 W garfield blvd,60621,3,68,41.79415292617806,-87.63353143657713
2018-04-26,0,0,0,8059 S luella ave,60617,8,46,41.74878112804972,-87.56983956940992
